NEIGHBORHOOD,SUMMARY
East Liberty,Disorderly Conduct
South Side Flats,Obscene lang/gest disorderly conduct
Knoxville,Harassment
Terrace Village,Harassment
South Side Flats,Indecent public act
South Side Flats,Fighting in disorderly conduct
Terrace Village,Fighting (Disorderly Conduct)
Central Business District,Obstructing passage
,Anonymous harassment
North Oakland,Harassment
Shadyside,Disorderly Conduct
Knoxville,Animal neglect
North Oakland,Harassment
East Allegheny,Public drunkenness
North Shore,Disorderly Conduct
Central Business District,Obscene language/gesture disorderly conduct
Central Business District,Public urination/defecation
South Side Flats,Indecent public urination/defecation
South Side Flats,Public urination/defecation
North Shore,Harassment
Central Business District,Public drunkenness
Allentown,Rabies vaccination
Arlington,Harassment
North Oakland,Harassment
Carrick,Harassment
Duquesne Heights,Fighting disorderly conduct
Arlington,Fighting (Disorderly Conduct)
Bedford Dwellings,Harassment
East Allegheny,Marijuana possession
South Side Flats,Unreasonable noise disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Sheraden,Fighting in disorderly conduct
Central Business District,Public drunkenness
Hazelwood,Marijuana possession
Squirrel Hill South,Animal neglect
Central Business District,Harassment
Squirrel Hill South,Dog license requirement
Terrace Village,Fighting in disorderly conduct
Central Business District,Actual communication
Arlington,Fighting in disorderly conduct
Central Business District,Public drunkenness
South Side Flats,Harassment
Central Lawrenceville,Animal neglect
East Allegheny,Actual Communication
Ridgemont,Disorderly Conduct
Crawford-Roberts,Public drunkenness
Homewood South,Discharging firearm/airgun
Perry South,Criminal Trespass
Sheraden,Fighting (Disorderly Conduct)
Middle Hill,Harassment at extreme hours
North Oakland,Harassment
South Side Flats,Obscene Lang/Gest Disorderly Conduct
Terrace Village,Fighting in disorderly conduct
Mount Washington,Marijuana possession
Crafton Heights,Harassment
Central Business District,Public drunkenness
Squirrel Hill South,Rabies vaccination
Central Business District,Disorderly Conduct
Lincoln-Lemington-Belmar,Harassment
Brighton Heights,Discharging firearm/airgun
Central Business District,Unauthorized urination/defecation on private property
Central Business District,Public drunkenness
Central Business District,Harassment
Fineview,Public drunkenness
Esplen,Harassment
Middle Hill,Public drunkenness
Central Business District,Public drunkenness
Westwood,Anonymous harassment
East Allegheny,Disorderly Conduct
Central Business District,Criminal Mischief
Carrick,Animal neglect
Sheraden,Fighting in disorderly conduct
Friendship,Fighting in disorderly conduct
Garfield,Criminal Trespass
Allegheny Center,Marijuana possession
Carrick,Animal neglect
Carrick,Animal neglect
Carrick,Animal neglect
Squirrel Hill South,Animal neglect
Homewood North,Harassment
Knoxville,Animal neglect
Hays,Marijuana possession
Carrick,Animal neglect
Homewood South,Defiant Trespass
West Oakland,Harassment
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Beechview,Harassment
Homewood North,Marijuana possession
Homewood North,Marijuana possession
Carrick,Animal neglect
Carrick,Animal neglect
Esplen,Harassment
Squirrel Hill South,"Littering, Dumping"
North Oakland,Public drunkenness
,Public drunkenness
Knoxville,Rabies vaccination
Knoxville,Animal neglect
Beechview,Obstructing passage
Allegheny Center,Marijuana possession
Carrick,Animal neglect
Hazelwood,Criminal Mischief (Paintball Damage)
Carrick,Animal neglect
Carrick,Animal neglect
Squirrel Hill South,Cruelty to animals
Knoxville,Animal neglect
South Side Flats,Disorderly Conduct
Carrick,Animal neglect
Friendship,Fighting (Disorderly Conduct)
Homewood North,Disorderly Conduct
Central Business District,Unreasonable noise disorderly conduct
Knoxville,Dog license requirement
Lower Lawrenceville,Fighting disorderly conduct
Carrick,Animal neglect
Brighton Heights,Obscene lang/gest disorderly conduct
Carrick,Public drunkenness
South Side Flats,Public drunkenness
East Allegheny,Underage liquor offense
Lower Lawrenceville,Fighting in disorderly conduct
Carrick,Animal neglect
Troy Hill,Criminal Mischief
Central Business District,Discharging firearm/airgun
Knoxville,Rabies vaccination
Central Lawrenceville,Animal neglect
Troy Hill,Harassment
Carrick,Animal neglect
Sheraden,Trespass
Squirrel Hill South,Littering/Dumping
Carrick,Animal neglect
Carrick,Animal neglect
Carrick,Animal neglect
Overbrook,Defiant Trespass
Bloomfield,Harassment
Central Business District,Harassment
Knoxville,Rabies vaccination
South Side Flats,Public drunkenness
Carrick,Animal neglect
Central Business District,Public drunkenness
Highland Park,Anonymous harassment
Homewood North,Marijuana possession
East Liberty,Marijuana possession
Carrick,Animal neglect
Central Business District,Retail Theft
Knoxville,Animal neglect
Knoxville,Dog license requirement
Carrick,Animal neglect
Carrick,Animal neglect
Central Business District,Harassment
Lincoln-Lemington-Belmar,Harassment
Carrick,Animal neglect
North Shore,Harassment
Carrick,Animal neglect
Carrick,Animal neglect
Bon Air,Marijuana possession
Knoxville,Harboring nuisance animal
Bluff,Harassment
Central Business District,Harassment
Carrick,Animal neglect
Bon Air,Harassment
Knoxville,Animal neglect
Carrick,Animal neglect
Brighton Heights,Harassment
Lincoln-Lemington-Belmar,Marijuana possession
Lincoln-Lemington-Belmar,Harassment
East Liberty,Marijuana possession
North Shore,Harassment
Carrick,Animal neglect
Carrick,Aggravated animal cruelty
South Side Flats,Obscene lang/gest disorderly conduct
Lincoln-Lemington-Belmar,Harassment
Bedford Dwellings,Fighting in disorderly conduct
East Liberty,Marijuana possession
Strip District,Harassment
South Side Flats,Fighting disorderly conduct
Homewood West,Public drunkenness
Carrick,Animal neglect
Allentown,Criminal Mischief
Highland Park,Harassment
Knoxville,Animal neglect
Lincoln-Lemington-Belmar,Marijuana possession
Carrick,Animal neglect
Highland Park,Criminal Trespass
Knoxville,Harboring animal nuisance
Highland Park,Harassment
Knoxville,Harboring nuisance animal
Central Business District,Disorderly Conduct
Central Business District,Harassment
Central Business District,Harassment
East Hills,Animal neglect
Central Business District,Criminal Mischief
Central Business District,Marijuana possession
Carrick,Animal neglect
Central Business District,Public drunkenness
Knoxville,Animal neglect
South Oakland,Harassment
South Side Flats,Public urination/defecation
Larimer,Harassment
East Liberty,Public drunkenness
Central Business District,Fighting in disorderly conduct
Homewood West,Public drunkenness
Carrick,Animal neglect
North Shore,Public drunkenness
Carrick,Animal neglect
Central Business District,Criminal Mischief
Central Business District,Harassment
Carrick,Animal neglect
Marshall-Shadeland,Harassment
South Side Flats,Public drunkenness
Central Business District,Fighting disorderly conduct
Bloomfield,Harassment
East Hills,Animal neglect
Bedford Dwellings,Fighting in disorderly conduct
Knoxville,Dog license requirement
Carrick,Animal neglect
Larimer,Harassment
East Allegheny,Harassment
Sheraden,Fighting in disorderly conduct
Central Business District,Harassment
Brookline,Criminal Mischief
East Hills,Animal neglect
Lincoln-Lemington-Belmar,Marijuana possession
Spring Hill-City View,Fighting in disorderly conduct
Elliott,Marijuana possession
East Hills,Animal neglect
Central Oakland,Public drunkenness
Central Business District,Harassment by physical contact
Sheraden,Fighting in disorderly conduct
Perry North,Harassment
East Hills,Animal neglect
,Disorderly Conduct
Carrick,Harassment
Bloomfield,Harassment
Carrick,Animal neglect
Central Business District,Marijuana possession
Central Business District,Harassment
Central Business District,Public drunkenness
Central Business District,Harassment
Central Business District,Public urination/defecation
Central Business District,Public drunkenness
East Hills,Animal neglect
Central Business District,Public drunkenness
Brookline,Criminal Mischief
,Harassment
East Hills,Animal neglect
East Liberty,Fighting (Disorderly Conduct)
Carrick,Public drunkenness
Homewood South,Marijuana possession
Carrick,Animal neglect
East Hills,Animal neglect
East Hills,Dog tethering
Mount Washington,Harassment
South Side Flats,Obscene lang/gest disorderly conduct
Homewood West,Unreasonable Noise Disorderly Conduct
Homewood West,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public drunkenness
East Liberty,Marijuana possession
Central Business District,Public drunkenness
Central Business District,Public drunkenness
East Hills,Dog tethering
North Shore,Fighting disorderly conduct
Bedford Dwellings,Discharging firearm/airgun
South Side Flats,Fighting (Disorderly Conduct)
East Hills,Animal shelters
East Hills,Animal neglect
Mount Washington,Cruelty to animals
East Hills,Animal shelters
Central Business District,Retail Theft
East Hills,Animal shelters
Sheraden,Criminal Mischief
Beechview,Cruelty to animals
Glen Hazel,Harassment
East Hills,Animal shelters
Central Business District,Disorderly Conduct
East Allegheny,Disorderly conduct
East Hills,Dog tethering
Knoxville,Harboring nuisance animal
East Hills,Animal neglect
Central Business District,Littering
South Side Flats,Obscene lang/gest disorderly conduct
East Hills,Animal neglect
Central Business District,Harassment
South Side Flats,Disorderly Conduct
Central Oakland,Disorderly Conduct - Unreasonable Noise
Sheraden,Harassment
Northview Heights,Public urination/defecation
Greenfield,Harassment
South Side Slopes,Marijuana possession
Point Breeze North,Harassment
Hazelwood,Marijuana possession
Glen Hazel,Fighting disorderly conduct
Carrick,Fighting (disorderly conduct)
Central Business District,Harassment
Sheraden,Harassment
Homewood North,Harassment
Northview Heights,Public drunkenness
Beltzhoover,Criminal Mischief
South Side Flats,Dangerous Burning
Carrick,Fighting in disorderly conduct
North Shore,Public drunkenness
North Shore,Disorderly conduct (unreasonable noise)
,Underage liquor
East Hills,Dog tethering
Central Business District,Obscene lang/gest disorderly conduct
Central Business District,Fighting in disorderly conduct
Sheraden,Fighting in disorderly conduct
Hazelwood,Marijuana possession
North Shore,Public drunkenness
East Hills,Dog tethering
East Hills,Animal shelters
South Side Flats,Public drunkenness
South Side Flats,Marijuana possession
Beechview,Public urination/defecation
Mount Washington,Harassment by following
Glen Hazel,Fighting (Disorderly Conduct)
Knoxville,Harboring nuisance animal
South Side Flats,Indecent public act
East Hills,Animal neglect
Beltzhoover,Public drunkenness
South Side Flats,Public urination/defecation
East Hills,Animal neglect
South Side Flats,Marijuana possession
Central Lawrenceville,Harassment by physical contact
East Hills,Dog tethering
Sheraden,Marijuana possession
East Hills,Animal shelters
South Side Flats,Disorderly Conduct
Greenfield,Disorderly Conduct (Unreasonable Noise)
Beltzhoover,Criminal Trespass
Central North Side,Public drunkenness
Northview Heights,Discharging firearm/airgun
South Side Flats,Public drunkenness
Brookline,Obscene Lang/Gest Disorderly Conduct
East Liberty,Harassment
Central Business District,Disorderly Conduct
South Side Flats,Public urination/defecation
Marshall-Shadeland,Marijuana possession
Central Business District,Obscene Lang/Gest Disorderly Conduct
Hazelwood,Harassment
Hazelwood,Harassment
Brookline,Obscene lang/gest disorderly conduct
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Hazelwood,Fighting disorderly conduct
Garfield,Criminal Mischief - Prop Damage by Dangerous Means
East Liberty,Disorderly Conduct
South Side Flats,Indecent public urination/defecation
South Side Flats,Disorderly Conduct
Hazelwood,Fighting disorderly conduct
Squirrel Hill South,Obscene Lang/Gest Disorderly Conduct
Knoxville,Interference with official duties
Bluff,Harassment
East Liberty,Harassment
,Public drunkenness
Strip District,Public drunkenness
South Side Flats,Marijuana possession
South Side Flats,Marijuana possession
Central Oakland,Harassment
Central Business District,Public drunkenness
Squirrel Hill South,Harassment by contact
East Liberty,Harassment
Elliott,Harassment
Central Business District,Harassment
Central Oakland,Disorderly Conduct
Central Business District,Public drunkenness
Central Business District,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Harassment
,False ID for liquor
Squirrel Hill South,Harassment
Central Business District,Harassment
Central Business District,Harassment
California-Kirkbride,Retail Theft
Central Business District,Fighting (disorderly conduct)
Brighton Heights,Marijuana possession
Crawford-Roberts,Harassment
South Side Flats,Public drunkenness
North Shore,Fighting disorderly conduct
Hazelwood,Marijuana possession
Central Business District,Disorderly Conduct
Squirrel Hill South,Harassment
Larimer,Marijuana possession
Sheraden,Scattering rubbish
Elliott,Fighting in disorderly conduct
Point Breeze,Trespass
South Side Flats,Public drunkenness
Central Business District,Open Container
,Spitting
Carrick,Criminal Mischief
South Side Flats,Fighting in disorderly conduct
,Disorderly conduct
Central Business District,Harassment
Central Business District,Public drunkenness
Squirrel Hill South,Public urination/defecation
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Mount Washington,Obstructing passage
Point Breeze North,Fighting in disorderly conduct
Mount Washington,Criminal Mischief
South Side Flats,Public drunkenness
Mount Washington,Obstructing passage
Mount Washington,Harassment
South Side Flats,Disorderly Conduct
Central Business District,Vendor license
Central Business District,Fighting in disorderly conduct
South Side Flats,Fighting (disorderly conduct)
Central Business District,Criminal Trespass
Strip District,Disorderly Conduct
Lincoln-Lemington-Belmar,Criminal Mischief
South Side Flats,Marijuana possession
South Side Flats,Criminal Mischief
South Side Flats,Harassment
Fairywood,Animal neglect
East Allegheny,Harassment
Point Breeze North,Fighting in disorderly conduct
South Side Flats,Criminal Mischief
Central Business District,Indecent public excretion
Allegheny Center,Actual Communication
South Side Flats,Alcohol on streets/sidewalks
Central Business District,Vendor license
Greenfield,Littering/Dumping
North Shore,Public urination/defecation
Central Business District,Vendor/peddler license
Marshall-Shadeland,Criminal Mischief
Central Business District,Disorderly Conduct
Central Business District,Public urination/defecation
Squirrel Hill South,Obscene lang/gest disorderly conduct
Central Business District,Actual Communication
Terrace Village,Fireworks near occupied structure
Central Business District,Public drunkenness
Beechview,Cruelty to Animals
Central Business District,Fighting in disorderly conduct
Troy Hill,Public urination/defecation
Central Business District,Alcohol on streets/sidewalks
Central Business District,Public urination/defecation
Central Business District,Public urination/defecation
Allentown,Dog license requirement
Terrace Village,Fireworks near occupied structure
Knoxville,Illegal Fireworks Use
Central Business District,Vendor/peddler license
,Rabies vaccination
Allentown,Dog license requirement
Arlington,Criminal Trespass
Beltzhoover,Rabies vaccination
South Side Flats,Marijuana possession
Beltzhoover,Dog license requirement
Beltzhoover,Dog license requirement
Arlington,Criminal Trespass
Beltzhoover,Dog license requirement
Allentown,Rabies vaccination
South Side Flats,Marijuana possession
North Shore,Obstructing passage
South Side Slopes,Public drunkenness
North Shore,Public drunkenness
North Shore,Public drunkenness
South Side Flats,Disorderly conduct
South Side Flats,Marijuana possession
Central Oakland,Disorderly Conduct
Fairywood,Dog license requirement
Homewood South,Harassment
Central Business District,Public drunkenness
North Shore,Public drunkenness
South Side Flats,Public drunkenness
Fairywood,Rabies vaccination
Beltzhoover,Animal neglect
Upper Lawrenceville,Harassment
Beltzhoover,Animal neglect
Knoxville,Rabies vaccination
Carrick,Dog license requirement
Lincoln-Lemington-Belmar,Marijuana possession
South Side Flats,Marijuana possession
South Side Flats,Public drunkenness
Fairywood,Animal neglect
Homewood South,Harassment
South Side Flats,Public urination/defecation
Middle Hill,Fighting in disorderly conduct
Hazelwood,Fighting in disorderly conduct
South Side Flats,Alcohol consumption in public
Squirrel Hill South,Harassment
Overbrook,Dog license requirement
South Side Flats,Public urination/defecation
South Side Flats,Criminal Mischief
Beltzhoover,Animal neglect
,Fighting in disorderly conduct
North Shore,Disorderly Conduct (Unreasonable Noise)
North Shore,Fighting in disorderly conduct
Hazelwood,Fighting (Disorderly Conduct)
Carrick,Interference with officials
North Shore,Public urination/defecation
Hazelwood,Fighting in disorderly conduct
Carrick,Rabies vaccination
Hazelwood,Fighting disorderly conduct
South Side Flats,Marijuana possession
Crafton Heights,Fireworks near occupied structure
Beltzhoover,Cruelty to animals
Central Business District,Retail Theft
Homewood South,Harassment
South Side Flats,Public drunkenness
Overbrook,Rabies vaccination
North Shore,Actual Communication
Central Business District,Public drunkenness
North Shore,Public drunkenness
Hazelwood,Fighting (disorderly conduct)
Bedford Dwellings,Harassment
Beltzhoover,Criminal Trespass
Garfield,Fighting in disorderly conduct
Knoxville,Harassment
South Side Flats,Harassment
Beltzhoover,Animal neglect
Carrick,Marijuana possession
South Side Flats,Fighting (disorderly conduct)
Central Business District,Retail Theft
North Shore,Obscene Lang/Gest Disorderly Conduct
South Side Flats,Marijuana possession
South Side Flats,Marijuana possession
South Side Flats,Obstructing passage
South Side Flats,Fighting in disorderly conduct
Knoxville,Harassment
Allegheny Center,Harassment
Central Business District,Retail Theft
South Side Flats,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Alcohol on streets/sidewalks
Mount Washington,Criminal Mischief
South Side Flats,Public urination/defecation
Allegheny Center,Trespass
South Side Flats,Marijuana possession
South Side Flats,Public drunkenness
South Side Flats,Fighting in disorderly conduct
Beltzhoover,Criminal Mischief
Marshall-Shadeland,Unreasonable Noise Disorderly Conduct
Marshall-Shadeland,Fighting (Disorderly Conduct)
North Shore,Fighting in disorderly conduct
Allegheny Center,Public drunkenness
South Side Flats,Disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Marijuana possession
Central Business District,Indecent public act
Central Business District,Harassment
Central Business District,Public drunkenness
Central Business District,Public drunkenness
East Liberty,Disorderly Conduct
Marshall-Shadeland,Fighting (Disorderly Conduct)
Mount Washington,Harassment
Marshall-Shadeland,Disorderly Conduct (Unreasonable Noise)
Elliott,Disorderly conduct
Homewood North,Public drunkenness
North Shore,Public urination/defecation
California-Kirkbride,Marijuana possession
South Side Flats,Public drunkenness
Garfield,Fighting in disorderly conduct
Spring Hill-City View,Criminal Trespass
Garfield,Fighting disorderly conduct
Allegheny Center,Actual Communication
Allegheny Center,Fighting in disorderly conduct
Spring Hill-City View,Criminal Trespass
Central Business District,Harassment
Central Business District,Public drunkenness
North Shore,Fighting in disorderly conduct
Garfield,Fighting (Disorderly Conduct)
Squirrel Hill North,Disorderly Conduct
Spring Hill-City View,Criminal Trespass
South Side Flats,Fighting disorderly conduct
Central Business District,Public drunkenness
Central Business District,Open Container
Larimer,Marijuana possession
Central Business District,Harassment
South Side Flats,Retail Theft
Central Business District,Public drunkenness
Allegheny Center,Harassment
South Side Slopes,Harassment
Elliott,Disorderly Conduct
Hazelwood,Fighting in disorderly conduct
South Side Flats,Public marijuana smoking
South Side Flats,Marijuana possession
Central Business District,Vendor license
South Side Flats,Indecent public excretion
Elliott,Disorderly Conduct
South Side Flats,Public urination/defecation
Beechview,Fighting disorderly conduct
Mount Washington,Obstructing passage
Homewood North,Public drunkenness
Central Business District,Retail Theft
Beltzhoover,Cruelty to animals
Strip District,Disorderly Conduct
Central Business District,Public urination/defecation
South Side Flats,Fighting disorderly conduct
South Side Flats,Indecent public act
Windgap,Fireworks ignition restriction
Elliott,Disorderly Conduct
Beltzhoover,Overtaking pedalcycle
Central Business District,Public drunkenness
South Side Flats,Alcohol on streets/sidewalks
Central Business District,Disorderly Conduct
Central Business District,Fighting in disorderly conduct
Mount Washington,Criminal Mischief
Allegheny Center,Fighting disorderly conduct
Elliott,Fighting (Disorderly Conduct)
Central Business District,Criminal Mischief
Beechview,Fighting in disorderly conduct
Central Business District,Carrying firearm facsimiles prohibited
Central Business District,Fighting in disorderly conduct
South Side Flats,Fighting in disorderly conduct
East Allegheny,Harassment
Crafton Heights,Fighting (disorderly conduct)
California-Kirkbride,Criminal Mischief
North Shore,Obscene Lang/Gesture
Windgap,Fireworks near vehicle/building
East Liberty,Trespass
Hazelwood,Marijuana possession
South Side Flats,Obscene lang/gest disorderly conduct
Regent Square,Public drunkenness
Squirrel Hill South,Harassment
Homewood South,Marijuana possession
North Shore,Fighting (Disorderly Conduct)
South Side Flats,Marijuana possession
South Side Slopes,Criminal Mischief - Prop Damage by Dangerous Means
South Side Flats,Disorderly Conduct (Unreasonable Noise)
Central Business District,Public urination/defecation
Carrick,Harassment
Central Business District,Unauthorized Urination/Defecation on Private Property
Lincoln-Lemington-Belmar,Theft of services
Squirrel Hill South,Harassment
Central Business District,Criminal Mischief
East Allegheny,Harassment
Allentown,Animal neglect
Central Business District,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Disorderly Conduct
North Shore,Disorderly conduct - Unreasonable noise
Central Business District,Public urination/defecation
Central Business District,Fighting disorderly conduct
Hazelwood,Dangerous Burning
Central Business District,Fighting disorderly conduct
South Side Flats,Public urination/defecation
California-Kirkbride,Criminal Mischief
Beltzhoover,Criminal Mischief - Prop Damage (Fire/Explosives/Dangerous Means)
Central Business District,Disorderly Conduct
Central Business District,Public urination/defecation
Homewood North,Marijuana possession
Lincoln-Lemington-Belmar,Theft of services
Central Business District,Marijuana possession
Troy Hill,Public urination/defecation
Brighton Heights,Trespass Posted
Strip District,Public drunkenness
Allentown,Cruelty to animals
Central Business District,Disorderly Conduct
Central Business District,Open container
Central Business District,Fighting in disorderly conduct
South Side Flats,Alcohol on streets/sidewalks
Central Business District,Public drunkenness
Central Business District,Disorderly Conduct
Brighton Heights,Trespass on Posted Property
Brighton Heights,Trespass Posted
South Side Flats,Public urination/defecation
East Allegheny,Panhandling hindrance
Central Business District,Public drunkenness
Central Business District,Disorderly Conduct (Unreasonable Noise)
South Side Flats,Marijuana possession
Elliott,Harassment
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
Elliott,Harassment
South Side Flats,Marijuana possession
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Marijuana possession
Central Business District,Public drunkenness
East Allegheny,Obstructing passage
Beechview,Harassment
South Side Flats,Harassment
Central Business District,Disorderly Conduct
Central Business District,Trespass
Marshall-Shadeland,Rabies vaccination
Elliott,Harassment
South Side Flats,Marijuana possession
Central Business District,Marijuana possession
Central Business District,Alcohol consumption in public
Shadyside,Scattering Rubbish
Allegheny Center,Obscene conduct
Central Business District,Public drunkenness
Bluff,Public drunkenness
Central Business District,Public drunkenness
Carrick,Rabies vaccination
North Shore,Public drunkenness
Central Oakland,Public drunkenness
Crawford-Roberts,Public drunkenness
Crawford-Roberts,Public drunkenness
South Side Flats,Marijuana possession
South Side Flats,Marijuana possession
Central Business District,Harassment
South Side Flats,Public drunkenness
Lincoln-Lemington-Belmar,Theft of services
Morningside,Harassment by Contact
Central Business District,Open Container
Central Business District,Marijuana possession
Allegheny Center,Defiant Trespass
South Oakland,Underage liquor
Central Oakland,Disorderly Conduct - Unreasonable Noise
Bluff,Criminal Mischief
South Side Flats,Amplified vehicle noise
Central Business District,Criminal Mischief
Central Business District,Public drunkenness
North Shore,Disorderly Conduct
Central Business District,Public drunkenness
Greenfield,Harassment
South Side Flats,Marijuana possession
Bluff,Harassment
North Shore,Harassment
Overbrook,Defiant Trespass
Carrick,Harassment
,Harassment
South Side Flats,Marijuana possession
Carrick,Cruelty to animals
Marshall-Shadeland,Dog license requirement
Central Oakland,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Marijuana possession
Central Business District,Actual Communication
West End,Dog license requirement
South Side Flats,Public drunkenness
Central Oakland,Unreasonable noise disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Disorderly Conduct
South Oakland,Impounded vehicles
Central Business District,Disorderly Conduct
Morningside,Harassment
South Oakland,Social host underage drinking
Beechview,Harassment
Marshall-Shadeland,Marijuana possession
Marshall-Shadeland,Rabies vaccination
Central Business District,Disorderly Conduct
South Side Flats,Public drunkenness
Central Oakland,Public drunkenness
Sheraden,Harassment
South Side Flats,Public drunkenness
South Side Flats,Indecent public act
Regent Square,Marijuana possession
Crawford-Roberts,Alcohol consumption in public
Bluff,Harassment
South Side Flats,Disorderly Conduct
South Oakland,Underage liquor
Central Business District,Criminal Mischief
East Allegheny,Disorderly Conduct
Brighton Heights,Trespass Posted
South Side Flats,Indecent public act
Bluff,Unreasonable noise disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Unreasonable noise disorderly conduct
West End,Rabies vaccination
South Side Flats,Indecent public act
Central Business District,Fighting in disorderly conduct
North Shore,Indecent public act
Middle Hill,Public drunkenness
South Side Flats,Obstructing passage
North Shore,Criminal Trespass
,Public drunkenness
North Oakland,Dangerous Burning
South Side Flats,Fighting in disorderly conduct
Carrick,Animal neglect
Carrick,Harassment
South Side Flats,Disorderly Conduct
Squirrel Hill South,Park policy
South Side Flats,Disorderly Conduct
Central Business District,Harassment
Central Oakland,False ID for liquor
South Side Flats,Disorderly conduct (unreasonable noise)
Central Business District,Disorderly Conduct
South Side Flats,Disorderly Conduct
South Shore,Obscene lang/gest disorderly conduct
South Side Flats,Disorderly conduct
Squirrel Hill South,Disorderly Conduct
South Side Flats,Public urination/defecation
Lincoln-Lemington-Belmar,Dangerous Burning
Glen Hazel,Rabies vaccination
Arlington,Littering
Troy Hill,Obstructing passage
Carrick,Animal neglect
South Oakland,Underage liquor offense
Glen Hazel,Rabies vaccination
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
Central Lawrenceville,Disorderly conduct
Carrick,Unreasonable Noise Disorderly Conduct
North Shore,Harassment
Crawford-Roberts,Harassment
Crawford-Roberts,Alcohol on streets/sidewalks
North Shore,Fighting in disorderly conduct
Highland Park,Park hours
North Shore,Trespass
Squirrel Hill South,Park hours
South Oakland,Social host underage drinking
North Shore,Defiant Trespass
South Side Flats,Unauthorized urination/defecation on private property
South Side Flats,Public drunkenness
South Oakland,Social host underage drinking
Brookline,Rabies vaccination
Brookline,Harassment
South Side Flats,Disorderly conduct (unreasonable noise)
South Side Flats,Marijuana possession
Central Business District,Public urination/defecation
Central Business District,Public drunkenness
Central Business District,Harassment
West End,Rabies vaccination
Homewood South,Marijuana possession
Crawford-Roberts,Harassment
Central Oakland,Disorderly Conduct - Unreasonable Noise
Central Business District,Obscene Lang/Gest Disorderly Conduct
Central Business District,Disorderly Conduct
Central Business District,Criminal Mischief
Central Business District,Alcohol on streets/sidewalks
Arlington,Harassment
North Shore,Public drunkenness
South Oakland,Social host underage drinking
Central Business District,Fighting (Disorderly Conduct)
Shadyside,Harassment
North Shore,Criminal Mischief
Brookline,Fighting disorderly conduct
South Side Flats,Public drunkenness
Arlington,Harassment
East Carnegie,Harassment
Central Oakland,Unreasonable noise disorderly conduct
Central Business District,Public drunkenness
Knoxville,Trash deposit/dump
Allentown,Rabies vaccination
Middle Hill,Harassment
South Side Slopes,Harassment
West Oakland,Defiant Trespass
Middle Hill,Harassment
Squirrel Hill North,Harassment
Shadyside,Retail Theft
Allentown,Rabies vaccination
Homewood West,Harassment
Brookline,Dog license requirement
Hazelwood,Marijuana possession
Greenfield,Public drunkenness
East Carnegie,Fighting (Disorderly Conduct)
East Carnegie,Harassment
Central Oakland,Scattering Rubbish
Elliott,Harassment
Allentown,Cruelty to animals
Lincoln-Lemington-Belmar,Retail Theft
South Side Flats,Public drunkenness
North Shore,Fighting in disorderly conduct
Allegheny Center,Defiant Trespass
Lincoln-Lemington-Belmar,Retail Theft
Homewood South,Fighting in disorderly conduct
North Shore,Fighting (Disorderly Conduct)
Central Business District,Fighting (Disorderly Conduct)
West Oakland,Defiant Trespass
Duquesne Heights,Cruelty to animals
Marshall-Shadeland,Harassment
Bedford Dwellings,Harassment
North Shore,Public drunkenness
Terrace Village,Criminal Mischief
East Carnegie,Harassment
Central Oakland,Excessive noise in residential area
Carrick,Marijuana possession
East Liberty,Harassment by following
North Shore,Fighting in disorderly conduct
Central Business District,Harassment
East Liberty,Public drunkenness
Squirrel Hill North,Disorderly conduct - unreasonable noise
East Carnegie,Unreasonable noise disorderly conduct
Arlington,Animal neglect
North Shore,Interference with official duties
Central Oakland,Disorderly Conduct - Unreasonable Noise
Arlington,Animal neglect
North Shore,Obscene lang/gest disorderly conduct
Middle Hill,Harassment
North Shore,Trespass
Perry North,Disorderly Conduct - Unreasonable Noise
Elliott,Fighting (Disorderly Conduct)
South Side Flats,Public drunkenness
Central Business District,Marijuana possession
North Shore,Harassment
Beechview,Harassment
Northview Heights,Harassment
South Side Flats,Interference with duties
Central Business District,Fighting in disorderly conduct
South Side Flats,Disorderly conduct - unreasonable noise
South Side Slopes,Harassment
Homewood South,Marijuana possession
Central Business District,Public drunkenness
South Side Flats,Fighting (disorderly conduct)
Central Business District,Marijuana possession
Allegheny Center,Marijuana possession
South Side Flats,Indecent public urination/defecation
Allegheny Center,Marijuana possession
South Side Flats,Public drunkenness
,Disorderly conduct - Unreasonable noise
Glen Hazel,Harassment
Shadyside,Obscene lang/gest disorderly conduct
Lower Lawrenceville,Fighting in disorderly conduct
North Shore,Public drunkenness
Homewood North,Marijuana possession
Swisshelm Park,Criminal Trespass
Central Business District,Public drunkenness
Beechview,Marijuana possession
